,0
clean_name_intersect_min,float64
clean_name_intersect_max,float64
clean_name_levenshtein_sim,float64
clean_name_trigram_sim,float64
clean_name_levenshtein_term,float64
clean_name_trigram_term,float64
zip_intersect_min,object
countryname_trigram_term,object
geocoderlocalityname_intersect_min,object
geocoderlocalityname_intersect_max,object
geocoderlocalityname_levenshtein_sim,object
geocoderlocalityname_trigram_sim,object
geocoderlocalityname_levenshtein_term,object
geocoderlocalityname_trigram_term,object
geocoderinputaddress_intersect_min,object
geocoderinputaddress_intersect_max,object
geocoderinputaddress_levenshtein_sim,object
geocoderinputaddress_trigram_sim,object
geocoderinputaddress_levenshtein_term,object
geocoderinputaddress_trigram_term,object
geocoderoutputaddress_intersect_min,object
geocoderoutputaddress_intersect_max,object
geocoderoutputaddress_levenshtein_sim,object
geocoderoutputaddress_trigram_sim,object
geocoderoutputaddress_levenshtein_term,object
geocoderoutputaddress_trigram_term,object
geocoderpostalcodenumber_intersect_min,object
geocoderpostalcodenumber_intersect_max,object
geocoderpostalcodenumber_levenshtein_sim,object
geocoderpostalcodenumber_trigram_sim,object
geocoderpostalcodenumber_levenshtein_term,object
geocoderpostalcodenumber_trigram_term,object
geocodercountrynamecode_intersect_min,object
geocodercountrynamecode_intersect_max,object
geocodercountrynamecode_levenshtein_sim,object
geocodercountrynamecode_trigram_sim,object
geocodercountrynamecode_levenshtein_term,object
geocodercountrynamecode_trigram_term,object
street_number_diff,object
street_number_levenshtein,object
street_number_trigram,object
geocode_coordinates_long_diff,object
geocode_coordinates_long_levenshtein,object
geocode_coordinates_long_trigram,object
geocode_coordinates_lat_diff,object
geocode_coordinates_lat_levenshtein,object
geocode_coordinates_lat_trigram,object
geocode_coordinates_diff,object
label,int64
clean_name_including_n,bool
clean_name_including_s,bool
clean_name_equality_n,bool
clean_name_equality_s,bool
city_including_m,bool
city_including_n,bool
city_including_s,bool
city_equality_m,bool
city_equality_n,bool
city_equality_s,bool
zip_including_m,bool
zip_including_n,bool
zip_including_s,bool
zip_equality_m,bool
zip_equality_n,bool
zip_equality_s,bool
street_including_m,bool
street_including_n,bool
street_including_s,bool
street_equality_m,bool
street_equality_n,bool
street_equality_s,bool
website_including_m,bool
website_including_n,bool
website_including_s,bool
website_equality_m,bool
website_equality_n,bool
website_equality_s,bool
countryname_including_m,bool
countryname_including_n,bool
countryname_including_s,bool
countryname_equality_m,bool
countryname_equality_n,bool
countryname_equality_s,bool
geocoderinputaddress_including_m,bool
geocoderinputaddress_including_n,bool
geocoderinputaddress_including_s,bool
geocoderlocalityname_including_m,bool
geocoderlocalityname_including_n,bool
geocoderlocalityname_including_s,bool
geocoderlocalityname_equality_m,bool
geocoderlocalityname_equality_n,bool
geocoderlocalityname_equality_s,bool
geocoderinputaddress_equality_m,bool
geocoderinputaddress_equality_n,bool
geocoderinputaddress_equality_s,bool
geocoderoutputaddress_including_m,bool
geocoderoutputaddress_including_n,bool
geocoderoutputaddress_including_s,bool
geocoderoutputaddress_equality_m,bool
geocoderoutputaddress_equality_n,bool
geocoderoutputaddress_equality_s,bool
geocoderpostalcodenumber_including_m,bool
geocoderpostalcodenumber_including_n,bool
geocoderpostalcodenumber_including_s,bool
geocoderpostalcodenumber_equality_m,bool
geocoderpostalcodenumber_equality_n,bool
geocoderpostalcodenumber_equality_s,bool
geocodercountrynamecode_including_m,bool
geocodercountrynamecode_including_n,bool
geocodercountrynamecode_including_s,bool
geocodercountrynamecode_equality_m,bool
geocodercountrynamecode_equality_n,bool
geocodercountrynamecode_equality_s,bool
phone_equality_m,bool
phone_equality_n,bool
phone_equality_s,bool
fax_equality_m,bool
fax_equality_n,bool
fax_equality_s,bool
street_number_equality_m,bool
street_number_equality_n,bool
street_number_equality_s,bool
geocode_coordinates_long_equality_m,bool
geocode_coordinates_long_equality_n,bool
geocode_coordinates_long_equality_s,bool
geocode_coordinates_lat_equality_m,bool
geocode_coordinates_lat_equality_n,bool
geocode_coordinates_lat_equality_s,bool
coordinates_long_equality_m,bool
coordinates_long_equality_n,bool
coordinates_long_equality_s,bool
coordinates_lat_equality_m,bool
coordinates_lat_equality_n,bool
coordinates_lat_equality_s,bool
